"anon_id","category","correct","total","ratio","ratio_relative_to_overall","gender","overall_correct_pct"
39,"amer_hist",128,148,0.864865,0.100654,"Male",0.764211
39,"art",91,145,0.627586,-0.136624,"Male",0.764211
39,"bus_econ",100,113,0.884956,0.120745,"Male",0.764211
39,"class_music",56,102,0.54902,-0.215191,"Male",0.764211
39,"curr_events",71,96,0.739583,-0.0246272,"Male",0.764211
39,"film",126,195,0.646154,-0.118057,"Male",0.764211
39,"food_drink",103,141,0.730496,-0.0337141,"Male",0.764211
39,"games_sport",138,185,0.745946,-0.0182646,"Male",0.764211
39,"geography",224,250,0.896,0.131789,"Male",0.764211
39,"language",74,90,0.822222,0.0580117,"Male",0.764211
39,"lifestyle",80,99,0.808081,0.0438703,"Male",0.764211
39,"literature",170,240,0.708333,-0.0558772,"Male",0.764211
39,"math",62,70,0.885714,0.121504,"Male",0.764211
39,"pop_music",141,180,0.783333,0.0191228,"Male",0.764211
39,"science",234,290,0.806897,0.042686,"Male",0.764211
39,"television",135,183,0.737705,-0.0265056,"Male",0.764211
39,"theatre",65,90,0.722222,-0.0419883,"Male",0.764211
39,"world_hist",180,233,0.772532,0.00832166,"Male",0.764211
94,"amer_hist",79,107,0.738318,0.0797929,"Female",0.658525
94,"art",66,109,0.605505,-0.0530203,"Female",0.658525
94,"bus_econ",52,84,0.619048,-0.0394773,"Female",0.658525
94,"class_music",28,77,0.363636,-0.294889,"Female",0.658525
94,"curr_events",35,66,0.530303,-0.128222,"Female",0.658525
94,"film",132,140,0.942857,0.284332,"Female",0.658525
94,"food_drink",92,104,0.884615,0.22609,"Female",0.658525
94,"games_sport",47,135,0.348148,-0.310377,"Female",0.658525
94,"geography",85,179,0.47486,-0.183665,"Female",0.658525
94,"language",34,65,0.523077,-0.135448,"Female",0.658525
94,"lifestyle",56,73,0.767123,0.108598,"Female",0.658525
94,"literature",142,176,0.806818,0.148293,"Female",0.658525
94,"math",18,51,0.352941,-0.305584,"Female",0.658525
94,"pop_music",116,133,0.87218,0.213656,"Female",0.658525
94,"science",125,214,0.584112,-0.0744128,"Female",0.658525
94,"television",113,129,0.875969,0.217444,"Female",0.658525
94,"theatre",62,68,0.911765,0.25324,"Female",0.658525
94,"world_hist",93,178,0.522472,-0.136053,"Female",0.658525
209,"amer_hist",9,23,0.391304,0.0957488,"Male",0.295556
209,"art",5,22,0.227273,-0.0682828,"Male",0.295556
209,"bus_econ",9,18,0.5,0.204444,"Male",0.295556
209,"class_music",2,17,0.117647,-0.177908,"Male",0.295556
209,"curr_events",1,14,0.0714286,-0.224127,"Male",0.295556
209,"film",18,32,0.5625,0.266944,"Male",0.295556
209,"food_drink",6,29,0.206897,-0.088659,"Male",0.295556
209,"games_sport",10,32,0.3125,0.0169444,"Male",0.295556
209,"geography",8,41,0.195122,-0.100434,"Male",0.295556
209,"language",1,12,0.0833333,-0.212222,"Male",0.295556
209,"lifestyle",2,14,0.142857,-0.152698,"Male",0.295556
209,"literature",13,37,0.351351,0.0557958,"Male",0.295556
209,"math",1,11,0.0909091,-0.204646,"Male",0.295556
209,"pop_music",9,29,0.310345,0.0147893,"Male",0.295556
209,"science",8,44,0.181818,-0.113737,"Male",0.295556
209,"television",14,24,0.583333,0.287778,"Male",0.295556
209,"theatre",3,14,0.214286,-0.0812698,"Male",0.295556
209,"world_hist",14,37,0.378378,0.0828228,"Male",0.295556
310,"amer_hist",33,59,0.559322,0.0325214,"Male",0.526801
310,"art",28,61,0.459016,-0.0677843,"Male",0.526801
310,"bus_econ",24,45,0.533333,0.00653266,"Male",0.526801
310,"class_music",20,46,0.434783,-0.0920181,"Male",0.526801
310,"curr_events",15,35,0.428571,-0.0982292,"Male",0.526801
310,"film",43,81,0.530864,0.00406353,"Male",0.526801
310,"food_drink",23,65,0.353846,-0.172955,"Male",0.526801
310,"games_sport",35,81,0.432099,-0.0947019,"Male",0.526801
310,"geography",38,103,0.368932,-0.157869,"Male",0.526801
310,"language",21,37,0.567568,0.0407669,"Male",0.526801
310,"lifestyle",24,39,0.615385,0.0885839,"Male",0.526801
310,"literature",73,103,0.708738,0.181937,"Male",0.526801
310,"math",27,30,0.9,0.373199,"Male",0.526801
310,"pop_music",18,76,0.236842,-0.289959,"Male",0.526801
310,"science",82,122,0.672131,0.14533,"Male",0.526801
310,"television",34,72,0.472222,-0.0545784,"Male",0.526801
310,"theatre",24,40,0.6,0.0731993,"Male",0.526801
310,"world_hist",67,99,0.676768,0.149967,"Male",0.526801
320,"amer_hist",19,23,0.826087,0.261643,"Female",0.564444
320,"art",9,22,0.409091,-0.155354,"Female",0.564444
320,"bus_econ",10,18,0.555556,-0.00888889,"Female",0.564444
320,"class_music",7,17,0.411765,-0.15268,"Female",0.564444
320,"curr_events",8,14,0.571429,0.00698413,"Female",0.564444
320,"film",12,32,0.375,-0.189444,"Female",0.564444
320,"food_drink",24,29,0.827586,0.263142,"Female",0.564444
320,"games_sport",16,32,0.5,-0.0644444,"Female",0.564444
320,"geography",24,41,0.585366,0.0209214,"Female",0.564444
320,"language",6,12,0.5,-0.0644444,"Female",0.564444
320,"lifestyle",11,14,0.785714,0.22127,"Female",0.564444
320,"literature",25,37,0.675676,0.111231,"Female",0.564444
